SMILES,logSolubility
CCC(C)Cl,-1.96
Clc1cccc2ccccc12,-3.93
CC(C)c1ccc(C)cc1O,-2.22
Clc1cccc(c1)N(=O)=O,-2.77
CC(C)CCOC(=O)C,-1.92
CCc1cccc(CC)c1N(COC)C(=O)CCl,-3.26
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1O,-4.02
CCOC(=O)c1ccc(O)cc1,-2.35
CCCCCCCCCC(=O)OC,-4.69
CCCCCCl,-2.73
Brc1cccc2ccccc12,-4.35
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-6.89
O=N(=O)c1ccccc1,-1.8
CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,-2.89
COCCCNc1nc(NC(C)C)nc(SC)n1,-2.928
CCCC(=C)C,-3.03
Oc1c(Br)cc(C#N)cc1Br,-3.33
ClC=C,-1.75
O=C1NC(=O)NC(=O)C1(C)CC=C,-1.16
O=C1c2ccccc2C(=O)c3ccccc13,-5.19
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862
CCCN(=O)=O,-0.8
CCSCc1ccccc1OC(=O)NC,-2.09
C1CCc2ccccc2C1,-4.37
CC1=CCC(CC1)C(C)=C,-4.26
CC1(C)CON(Cc2ccccc2Cl)C1=O,-2.338
Cc1ccc2cc3ccccc3cc2c1,-6.96
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl,-9.15
O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2,-2.84
O=Cc1ccco1,-0.1
CCOc1ccc(NC(N)=O)cc1,-2.17
CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,-3.408
CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CCC5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C,-5.292999999999999
CN(=O)=O,0.26
CCCCCC(=O)C,-1.45
Clc1ccccc1I,-3.54
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194
CCc1cccc2ccccc12,-4.17
CCCCCOC(=O)CC,-1.28
CC(C)C,-2.55
CCCCCCC,-4.53
CCNc1nc(Cl)nc(n1)N(CC)CC,-4.06
Clc1cccc(I)c1,-3.55
CCCCCCCC(=O)OC,-3.17
Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-7.02
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl,-7.42
CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,-2.696
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-5.68
CCCOCCC,-1.62
CCNc1nc(Cl)nc(NCC)n1,-4.55
Clc1ccc(cc1)c2cccc(Cl)c2Cl,-6.29
FC(F)(F)c1cccc(c1)N2CC(CCl)C(Cl)C2=O,-4.047
Oc1cc(Cl)cc(Cl)c1Cl,-2.67
CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O),-3.48
Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,-7.68
ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl,-4.19
CN(C)C(=O)SCCCCOc1ccccc1,-3.927
ClCCl,-0.63
CCOC(=O)C=Cc1ccccc1,-3.0
OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl,-1.84
CCCCCCCCC(=O)C,-3.3
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl,-8.71
CCCCCCCCC(=O)OC,-3.38
Cc1ncnc2nccnc12,-0.466
CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C,-3.59
ClC(Cl)(Cl)N(=O)=O,-2.0
Cc2cnc1cncnc1n2,-0.8540000000000001
CCCCOCCCC,-1.85
Clc1cccc(Cl)c1,-3.04
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl,-8.6
OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O,-0.85
Nc2nc1[nH]cnc1c(=O)[nH]2,-3.583
Cc1c2ccccc2c(C)c3ccccc13,-6.57
Oc2ccc1CCCCc1c2,-1.99
c1c(NC(=O)OC(C)C(=O)NCC)cccc1,-1.83
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,-4.5760000000000005
Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl,-6.57
Clc1ccc(cc1)c2cc(Cl)ccc2Cl,-6.25
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64
FC(F)(F)c1ccccc1,-2.51
ClCCCCl,-1.62
O=N(=O)c1cccc(c1)N(=O)=O,-2.29
CCCBr,-1.73
CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89
C1CCCC1,-2.64
N(=Nc1ccccc1)c2ccccc2,-4.45
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.924
Oc1cc(Cl)c(Cl)cc1Cl,-2.21
CCCC#C,-1.64
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O,-0.77
CC(=O)SC4CC1=CC(=O)CCC1(C)C5CCC2(C)C(CCC23CCC(=O)O3)C45,-4.173
NC(=O)c1cccnc1,0.61
CC(C)CBr,-2.43
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-5.67
CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,-0.85
c2cnc1ncncc1n2,0.02
C,-0.9
O=N(=O)c1cccc2ccccc12,-3.54
Cc2cccc3sc1nncn1c23,-2.07
Clc1cc(Cl)cc(Cl)c1,-4.48
c1cccc2c3c(C)cc4ccccc4c3ccc12,-6.59
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-8.94
CN(C)C(=O)Nc2ccc(Oc1ccc(Cl)cc1)cc2,-4.89
CSSC,-1.44
CC(O)c1ccccc1,-0.92
CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C,-4.8
COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C,-4.42
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,-4.43
CC(C)C(C)O,-0.18
COC(=O)c1ccccc1,-1.85
Oc1ccc(Cl)cc1,-0.7
CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc12,-5.233
CCCCC1C(=O)N(N(C1=O)c2ccc(O)cc2)c3ccccc3,-3.73
Fc1ccccc1,-1.8
Nc1ccccc1O,-0.72
NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,-3.451
Oc1ccc(cc1)N(=O)=O,-0.74
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C,-2.593
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-6.09
CC(C)CCC(C)(C)C,-5.05
CCCCc1c(C)nc(NCC)[nH]c1=O,-3.028
CCC=C,-1.94
c1ccccc1NC(=O)c2c(O)cccc2,-3.59
Cc1cc(no1)C(=O)NNCc2ccccc2,-2.461
CNN,1.34
CCC(=O)CC,-0.28
CN2C(=C(O)c1ccccc1S2(=O)=O)C(=O)Nc3ccccn3,-4.16
Oc1c(Cl)cc(Cl)cc1Cl,-2.34
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,-2.322
OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,-3.37
CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,-3.43
CCCCCCCC=C,-5.05
ON=Cc1ccc(o1)N(=O)=O,-2.19
CCCOC,-0.39
ClCCCl,-1.06
Cc1ccc(cc1)S(=O)(=O)N,-1.74
CC(=C)C,-2.33
O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,-2.81
Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2,-3.8
CCOCCOCC,-0.77
BrCBr,-1.17
CCCCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)CO,-4.71
CC,-1.36
CCCC(O)CCC,-1.4
Oc1c(Cl)cccc1Cl,-1.79
CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-3.68
C=CCCC=C,-2.68
CCN2c1ncccc1N(C)C(=O)c3cccnc23,-2.62
CCCC,-2.57
CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23,-5.153
CNC(=O)ON=C(SC)C(=O)N(C)C,0.106
CCCCBr,-2.37
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,-3.15
CCC(C)(C)Cl,-2.51
CC(C)CC(C)O,-0.8
CSc1nc(nc(n1)N(C)C)N(C)C,-2.676
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,-6.025
Cc1ccccc1Br,-2.23
c2ccc1nc(ccc1c2)c4ccc3ccccc3n4,-5.4
COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,-4.04
CCCCCCCCCCCCCCCO,-6.35
CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,-5.24
O=C2NC(=O)C1(CCCCCC1)C(=O)N2,-3.168
CCCCCCC(=O)OCC,-2.74
CC#C,-0.41
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,-6.291
CCCCCO,-0.6
CCOC(=O)N,0.85
c1ccc2cc3ccccc3cc2c1,-6.35
O=N(=O)c1c(Cl)c(Cl)ccc1,-3.48
Cc1c2ccccc2cc3ccccc13,-5.89
CCCOC(=O)CC,-0.82
N(Nc1ccccc1)c2ccccc2,-2.92
Nc1ccc(Cl)cc1,-1.66
c1ccc2cc3cc4ccccc4cc3cc2c1,-8.6
CC(Cl)CCl,-1.6
CCCCCCCI,-4.81
ClCBr,-0.89
CCC(C)(C)CC,-4.23
CN(C)C(=O)N(C)C,0.94
CCCOC(=O)CCC,-1.75
c1ccc2c(c1)c3ccccc3c4ccccc24,-6.726
ClC(Cl)(Cl)C#N,-2.168
CCC2NC(=O)c1cc(c(Cl)cc1N2)S(N)(=O)=O,-3.29
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO,-3.18
Cc1cc2ccccc2cc1C,-4.72
CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,-5.47
CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.36
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O,-3.46
Cc1ccc(cc1)c2ccccc2,-4.62
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.886
ClCCBr,-1.32
C1C=CCC=C1,-2.06
O=C1NC(=O)C(=O)N1,-0.4
NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2Cl,-2.63
CN(C)c1ccccc1,-1.92
CC(C)(C)Cc1ccccc1,-4.15
FC(F)(Cl)C(F)(F)Cl,-2.74
Clc1c(Cl)c(Cl)c(N(=O)=O)c(Cl)c1Cl,-5.82
NNc1ccccc1,0.07
CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl,-2.154
CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O,-4.402
c1ccc2c(c1)c3cccc4ccc5cccc2c5c43,-7.8
CCNc1nc(NC(C)(C)C)nc(OC)n1,-3.239
O=C(c1ccccc1)c2ccccc2,-3.12
O=C3CN=C(c1ccccc1)c2cc(ccc2N3)N(=O)=O,-3.796
CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-3.64
CC(C)I,-2.09
OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,-4.571000000000001
OCC1OC(O)C(O)C(O)C1O,0.74
CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,-4.046
COCOC,0.48
CCOC(=O)c1cncn1C(C)c2ccccc2,-4.735
OCC(O)C(O)CO,0.7
c1ccc2c(c1)sc3ccccc23,-4.38
Oc1c(Cl)ccc(Cl)c1Cl,-2.64
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,-4.19
Cc1cc(C)c(C)cc1C,-4.59
c2ccc1[nH]ncc1c2,-2.16
c1cc2ccc3cccc4ccc(c1)c2c34,-6.176
Fc1ccccc1Br,-2.7
CCN2c1ccccc1N(C)C(=S)c3cccnc23,-4.706
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.54
Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O,-3.083
CCCCOC(=O)c1ccc(N)cc1,-3.082
CC(C)C(=O)C(C)C,-1.3
CCOc1ccc(NC(=O)C)cc1,-2.35
Nc1cc(nc(N)n1=O)N2CCCCC2,-1.989
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77
CCCCCCCC,-5.24
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.42
Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl,-8.01
ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-6.317
CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23,-5.36
Clc1cccc(n1)C(Cl)(Cl)Cl,-3.76
O=N(=O)c1ccccc1N(=O)=O,-3.1
CC(C)=CCCC(O)(C)C=C,-1.99
Nc3cc2c1ccccc1ccc2c4ccccc34,-6.2
CC(C)N(C(=O)CCl)c1ccccc1,-2.48
c3ccc2c(O)c1ccccc1cc2c3,-4.73
CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-3.4930000000000003
c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,-5.64
OC1CCCCC1,-0.44
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,-3.57
Clc1ccc(cc1)c2c(Cl)cccc2Cl,-6.14
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,-3.22
NC(=S)Nc1ccccc1,-1.77
CCCC(C)(COC(N)=O)COC(N)=O,-1.807
Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl,-6.47
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-6.144
O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,-4.097
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.09
C1Cc2c3c1cccc3cc4c2ccc5ccccc54,-7.85
CCCC=C,-2.68
CCCCCCc1ccccc1,-5.21
COC(=O)Nc2nc1ccc(cc1[nH]2)C(=O)c3ccccc3,-3.88
CCN2c1cc(N(C)C)cc(C)c1NC(=O)c3cccnc23,-4.871
CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,-3.27
CC2=CC(=O)c1ccccc1C2=O,-3.03
CCCCCOC(=O)C,-1.89
CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.4
CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23,-6.005
Cl\C=C/Cl,-1.3
CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,-2.93
c1ccc2c(c1)[nH]c3ccccc32,-5.27
O=C1NCCN1c2ncc(s2)N(=O)=O,-3.22
Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl,-7.66
Cc1ccc(C)c2ccccc12,-4.14
CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,0.523
CCc1ccccn1,0.51
CCCCCCCCCCCCCCCCO,-7.0
CC(C)N(=O)=O,-0.62
Oc1c(I)cc(C#N)cc1I,-3.61
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,-8.23
C1CCOCC1,-0.03
CCSC(=O)N(CC)C1CCCCC1,-3.4
CCCO,0.62
Clc1cccc(Br)c1,-3.21
O=N(=O)c1cc(Cl)c(Cl)cc1,-3.2
CCc1ccccc1C,-3.21
O=C1NC(=O)NC(=O)C1(C)CC,-1.228
CCOC(=O)CC(=O)OCC,-0.82
c1ccccc1O,0.0
COC(=O)c1cccnc1,-0.46
c1ccccc1n2ncc(N)c(Br)c2(=O),-3.127
CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C,-4.081
OC(C(=O)c1ccccc1)c2ccccc2,-2.85
Cc1ncc(N(=O)=O)n1CCO,-1.26
COc2cnc1ncncc1n2,-1.139
CN(C)C(=O)Nc1ccc(C)c(Cl)c1,-3.483
CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O,-5.35
Cc1cc(C)c(C)c(C)c1C,-4.0
Oc1ccc(O)cc1,-0.17
Cc1ccccc1,-2.21
Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-7.15
C1(=O)NC(=O)NC(=O)C1(O)C2(O)C(=O)NC(=O)NC2(=O),-1.99
C/C1CCC(\C)CC1,-4.47
Fc1cccc(Br)c1,-2.67
COC(C)(C)C,-0.24
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,-6.49
Cc1ccccc1N(=O)=O,-2.33
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.999
